desk, underlying, base_market, base_feedcode, calculated_at, volatility_type, volatility, winddown
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapBaseWithGap,0.0110358,0.200128
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapBaseWithoutGap,0.0201531,0.011016
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapNonBaseWithGap,0.0110358,0.200128
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapNonBaseWithoutGap,0.0201531,0.011016
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapSliding10,0.0149647,0.00367
UST,TN10,XCME,ZNM9,1557464400000000000,BootstrapSliding30,0.0201531,0.011016
UST,TN10,XCME,ZNM9,1557464400000000000,MoveBaseWithGap,0.0162228,0.200128
UST,TN10,XCME,ZNM9,1557464400000000000,MoveBaseWithoutGap,0.0163143,0.011016
UST,TN10,XCME,ZNM9,1557464400000000000,MoveNonBaseWithGap,0.0162228,0.200128
UST,TN10,XCME,ZNM9,1557464400000000000,MoveNonBaseWithoutGap,0.0163143,0.011016
UST,TN10,XCME,ZNM9,1557464400000000000,CloseToClose,0.0119366,0.200128
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapBaseWithGap,0.0118042,0.211142
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapBaseWithoutGap,0.0158236,0.02203
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapNonBaseWithGap,0.0116098,0.211142
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapNonBaseWithoutGap,0.0154685,0.02203
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapSliding10,0,0.00367
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapSliding30,0,0.011014
UST,TN10,XCME,ZNM9,1557466200000000000,BootstrapSliding60,0.0153675,0.02203
UST,TN10,XCME,ZNM9,1557466200000000000,MoveBaseWithGap,0.0160236,0.211142
UST,TN10,XCME,ZNM9,1557466200000000000,MoveBaseWithoutGap,0.0142511,0.02203
UST,TN10,XCME,ZNM9,1557466200000000000,MoveNonBaseWithGap,0.0160236,0.211142
UST,TN10,XCME,ZNM9,1557466200000000000,MoveNonBaseWithoutGap,0.0142511,0.02203
UST,TN10,XCME,ZNM9,1557466200000000000,CloseToClose,0.0107441,0.211142
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapBaseWithGap,0.0122498,0.222158
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapBaseWithoutGap,0.0138505,0.033046
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapNonBaseWithGap,0.0120279,0.222158
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapNonBaseWithoutGap,0.0135375,0.033046
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapSliding10,0,0.00367
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapSliding30,0,0.011016
UST,TN10,XCME,ZNM9,1557468000000000000,BootstrapSliding60,0,0.02203
UST,TN10,XCME,ZNM9,1557468000000000000,MoveBaseWithGap,0.0156212,0.222158
UST,TN10,XCME,ZNM9,1557468000000000000,MoveBaseWithoutGap,0.0116358,0.033046
UST,TN10,XCME,ZNM9,1557468000000000000,MoveNonBaseWithGap,0.0156212,0.222158
UST,TN10,XCME,ZNM9,1557468000000000000,MoveNonBaseWithoutGap,0.0116358,0.033046
UST,TN10,XCME,ZNM9,1557468000000000000,CloseToClose,0.0104744,0.222158
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapBaseWithGap,0.0125378,0.24198
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapBaseWithoutGap,0.0117651,0.052868
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapNonBaseWithGap,0.0126462,0.24198
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapNonBaseWithoutGap,0.0118711,0.052868
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapSliding10,0,0.00682
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapSliding30,0,0.019822
UST,TN10,XCME,ZNM9,1557469800000000000,BootstrapSliding60,0,0.030838
UST,TN10,XCME,ZNM9,1557469800000000000,MoveBaseWithGap,0.0149678,0.24198
